timestamp,open,high,low,close,tick_volume,volume,spread,symbol,timeframe
2026.01.02 01:00:00,4325.66,4351.17,4324.37,4348.21,5255,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 02:00:00,4348.39,4355.85,4341.48,4354.06,5578,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 03:00:00,4354.09,4355.91,4344.59,4347.98,7292,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 04:00:00,4347.96,4363.18,4344.97,4362.93,6782,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 05:00:00,4362.92,4375.41,4362.28,4375.08,6886,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 06:00:00,4375.07,4378.33,4371.26,4373.11,6242,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 07:00:00,4373.46,4381.62,4371.05,4380.61,6032,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 08:00:00,4380.64,4380.98,4373.25,4374.65,6549,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 09:00:00,4374.80,4383.28,4371.92,4382.83,7030,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 10:00:00,4382.62,4397.43,4380.78,4387.06,7029,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 11:00:00,4387.03,4391.58,4383.28,4385.34,6502,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 12:00:00,4385.44,4398.51,4384.57,4396.14,6553,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 13:00:00,4396.14,4399.26,4390.68,4392.94,6304,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 14:00:00,4392.92,4398.23,4385.14,4394.38,7247,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 15:00:00,4394.45,4402.23,4362.06,4366.09,9197,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 16:00:00,4366.03,4373.74,4348.28,4353.47,9946,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 17:00:00,4352.65,4356.86,4330.32,4335.06,10793,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 18:00:00,4335.35,4337.40,4315.08,4326.35,10589,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 19:00:00,4326.29,4333.43,4322.85,4323.06,9460,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 20:00:00,4322.46,4323.56,4309.90,4315.19,9400,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 21:00:00,4315.20,4326.16,4315.20,4318.13,8631,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 22:00:00,4318.16,4331.48,4317.18,4331.41,7836,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.02 23:00:00,4331.45,4333.25,4326.98,4332.94,3628,0,0.28,XAUUSD.vx,PERIOD_H1
2026.01.05 01:00:00,4361.17,4375.70,4345.19,4372.39,7694,0,0.28,XAUUSD.vx,PERIOD_H1
